battery_voltage,load_voltage,set_voltage,pwm_duty_cycle,label
3.29,4.78,4.2,42.03,2
6.57,2.29,4.04,30.77,1
7.06,2.54,1.5,65.77,2
4.4,0.97,2.64,7.03,1
7.89,0.64,1.87,179.55,1
8.15,5.14,4.13,161.51,2
5.04,3.71,2.31,29.26,2
7.08,1.76,1.68,37.71,2
3.65,3.54,4.88,57.6,1
8.22,1.75,3.73,42.97,1
8.45,4.3,3.95,40.48,2
3.47,4.99,4.2,41.81,2
4.17,3.19,4.28,228.17,1
5.41,4.32,4.3,111.51,2
3.49,4.68,2.78,148.93,2
6.69,3.54,3.7,95.32,1
3.35,0.08,1.19,185.13,1
6.27,5.87,4.66,254.01,2
7.15,3.77,3.86,84.97,1
3.44,3.01,3.49,70.61,1
8.46,4.77,4.64,232.79,2
5.81,5.08,3.13,229.27,2
8.48,0.53,2.0,204.33,1
5.21,2.45,1.59,10.95,2
3.24,2.56,3.88,193.39,1
5.02,3.58,3.15,94.9,2
7.52,2.48,4.44,105.51,1
4.31,2.43,1.37,32.21,2
5.98,2.41,2.16,240.23,2
6.96,2.59,2.95,85.17,1
5.4,0.81,1.62,59.26,1
4.33,5.28,4.81,225.35,2
5.57,3.19,3.78,94.69,1
5.68,2.96,4.76,92.67,1
4.91,3.67,2.44,165.22,2
7.09,1.93,2.07,208.39,1
5.94,2.52,1.66,69.35,2
7.74,2.16,4.11,187.71,1
7.44,2.09,2.03,86.1,2
3.29,-0.39,1.28,6.85,1
5.84,3.09,4.05,229.96,1
7.03,3.49,4.55,113.75,1
6.98,3.9,2.67,136.59,2
3.18,3.42,2.6,220.85,2
6.49,6.23,4.91,35.22,2
6.22,2.71,3.06,160.6,1
8.28,4.43,4.2,205.59,2
6.55,3.21,1.62,113.76,2
5.47,1.58,2.36,116.26,1
7.56,-0.37,1.12,224.93,1
6.78,3.72,3.25,35.84,2
5.06,4.23,3.62,236.36,2
6.73,2.73,2.1,140.74,2
4.87,2.07,1.65,34.09,2
4.52,2.97,4.5,55.4,1
7.46,1.19,1.29,43.47,1
5.8,3.01,4.64,189.45,1
5.79,3.69,2.28,211.91,2
6.02,3.95,4.0,70.44,1
3.19,2.46,3.73,219.79,1
7.43,2.37,1.54,248.69,2
7.15,3.26,1.91,171.24,2
8.26,2.92,3.15,138.31,1
7.42,1.34,2.78,111.85,1
7.75,0.98,1.87,91.44,1
8.08,3.24,4.37,158.3,1
7.52,0.37,2.11,132.86,1
6.58,3.44,4.77,37.12,1
6.5,3.77,2.19,115.25,2
3.55,4.51,4.49,147.6,2
3.04,1.73,2.65,42.78,1
4.21,0.56,1.9,125.75,1
5.98,1.16,2.49,103.81,1
7.52,5.03,4.72,194.5,2
8.03,3.38,3.58,27.67,1
4.94,1.88,1.31,170.28,2
3.11,3.63,2.68,48.72,2
7.12,3.33,3.44,92.16,1
8.26,2.77,2.55,10.59,2
6.78,4.63,2.75,204.42,2
6.15,-0.48,1.29,150.22,1
6.83,3.38,3.23,17.54,2
4.06,3.07,2.4,207.88,2
7.14,4.35,3.16,110.61,2
4.69,3.51,2.25,22.47,2
3.14,1.28,2.38,250.2,1
5.72,2.67,1.67,129.51,2
4.16,1.63,1.42,40.37,2
4.58,5.54,3.74,237.38,2
7.91,1.1,1.49,239.66,1
5.94,3.13,4.44,84.34,1
5.79,6.24,4.39,221.41,2
3.03,1.51,3.04,243.91,1
3.22,4.34,4.54,179.94,1
7.18,3.54,1.64,52.19,2
8.35,4.19,3.5,43.61,2
5.46,0.44,1.15,198.25,1
7.26,4.45,3.73,42.96,2
4.27,2.72,1.59,60.46,2
6.89,3.75,3.98,112.19,1
5.74,2.04,2.28,21.38,1
6.84,2.22,1.65,190.44,2
4.55,3.46,1.61,54.36,2
6.37,3.39,2.15,173.9,2
7.06,4.93,4.14,85.13,2
3.86,4.91,3.96,183.94,2
5.46,3.32,2.62,41.8,2
6.53,0.1,1.59,8.73,1
6.11,2.96,2.69,47.1,2
4.7,4.18,2.52,142.29,2
3.34,2.26,3.24,20.3,1
6.5,6.49,4.72,134.76,2
3.89,0.43,2.32,44.8,1
8.09,5.03,4.74,138.16,2
5.82,1.71,2.01,121.1,1
3.88,3.77,3.19,226.43,2
5.73,2.75,3.13,0.76,1
6.6,5.37,4.99,49.36,2
5.78,2.57,2.67,231.22,1
5.22,1.69,1.72,202.12,1
7.15,4.95,3.0,103.79,2
4.08,3.3,1.77,190.03,2
6.29,3.45,4.6,170.98,1
5.5,3.26,1.4,47.12,2
4.27,4.9,3.92,65.16,2
8.09,1.54,1.23,177.17,2
6.21,3.22,3.11,174.85,2
6.45,0.94,2.6,165.98,1
3.41,1.33,2.65,85.63,1
6.84,3.07,1.46,64.73,2
7.45,4.15,3.9,57.25,2
7.69,3.59,1.71,110.27,2
5.49,0.33,2.12,174.45,1
5.59,3.27,2.85,66.2,2
4.07,4.97,4.74,86.19,2
3.75,0.57,1.29,77.15,1
7.1,1.06,2.26,114.74,1
7.71,3.84,4.93,100.67,1
3.79,1.07,1.57,131.12,1
8.42,5.53,4.73,120.37,2
7.25,5.25,4.23,24.36,2
5.89,5.16,3.53,172.54,2
3.21,5.75,4.83,112.75,2
3.62,4.5,4.01,128.47,2
5.87,3.02,1.58,89.91,2
7.38,1.2,3.12,217.2,1
8.09,4.12,3.85,191.06,2
4.6,3.95,4.62,47.25,1
7.4,5.1,3.31,23.94,2
7.13,2.67,3.11,234.37,1
8.05,2.37,1.99,152.59,2
4.49,5.13,3.84,235.32,2
5.46,3.94,3.41,16.8,2
6.03,4.65,3.5,94.89,2
6.33,2.43,3.98,92.11,1
4.61,3.36,2.1,110.96,2
7.24,6.18,4.52,4.48,2
4.91,3.7,4.64,201.27,1
6.65,5.21,3.95,18.49,2
5.81,1.1,2.73,230.44,1
5.9,3.64,3.4,170.98,2
3.88,4.03,3.95,165.06,2
5.48,2.47,1.04,59.81,2
7.07,3.87,1.96,53.19,2
7.54,6.63,4.83,104.82,2
8.28,1.26,1.59,208.63,1
7.92,-0.5,1.07,177.54,1
6.54,1.95,3.68,93.44,1
7.47,2.94,3.97,63.06,1
4.54,4.74,4.19,204.15,2
3.83,3.58,2.48,142.18,2
8.08,5.91,4.14,12.72,2
6.83,3.43,3.58,61.98,1
7.66,3.16,1.49,151.27,2
3.52,1.03,1.98,195.77,1
4.59,4.67,3.71,52.87,2
8.02,6.13,4.15,253.25,2
3.33,1.2,1.72,155.08,1
6.59,4.12,3.44,179.19,2
4.69,6.12,4.59,249.52,2
7.26,2.02,3.84,56.48,1
7.59,4.54,4.67,183.03,1
7.36,2.9,4.23,226.81,1
3.31,3.91,4.51,193.79,1
3.15,2.85,2.04,52.39,2
4.78,2.51,3.36,148.65,1
3.89,6.08,4.75,165.85,2
5.17,5.65,4.46,158.49,2
3.79,3.15,4.79,199.2,1
3.16,3.28,2.98,205.6,2
3.57,4.24,4.04,228.18,2
5.71,2.29,2.19,84.26,2
6.92,1.57,3.38,153.61,1
3.48,1.48,2.52,236.53,1
7.11,2.1,1.71,180.41,2
5.0,3.5,2.36,127.7,2
5.07,3.89,3.45,177.89,2
4.96,6.09,4.63,167.96,2
6.94,4.63,5.0,21.21,1
7.87,5.18,3.75,61.97,2
